s	review
0	sản phẩm cực kỳ tệ hại tràn bộ nhớ liên tục ứng dụng messenger facebook liên tục crash ứng dụng phổ biến crash cập nhật hệ thống hỏng hỏng hối hận mua nokia 3 cạch ko đụng nokia huyền thoại thời ư quá khứ chất lượng sản phẩm điện thoại tq giá rẻ thất vọng
0	5 máy yếu chậm lag ram 2 gb trống chừng 400mb chạy android gốc k nhỉnh oppo neo5 xíu mấy treo cập nhật treo tải ứng dụng treo xài app nhẹ treo đa nhiệm xài chạy android gốc bất tiện android gốc sẵn ứng dụng thư viện nhạc quản lý file ghi âm vv cài máy chậm chậm giao diện phức tạp hợp lí nhắn cuộc gọi đánh hiển thị tràn đầy hề tác dụng vd cuộc gọi video duo lưu nhật kí cuộc gọi thông thường hề thông qua duo camera cam ổn chụp nét cam tệ ảnh lật chế độ k thích hợp selfie chốt cấu hình yếu thiết kế ổn hối hận 3triệu mua máy nhận xét mong muốn hối tiếc mua nokia 3 gấp gáp kiên nhẫn thu 1 triệu mua máy tầm giá 4triệu có lẽ nhu cầu tiện lợi giới trẻ thân ái
0	đọc review máy sản phẩm tệ đi ngoài đường kg sóng loa kg dc
0	mua hàng cẩm máy mượt màn hình hd vật liệu nhựa tương xứng giá thiết kế máy tương đối đẹp j7 pro
0	bin sụt 10 đầu xạc tầm 45 tiếng cảm biến tự động cuộc gọi chính xác chế độ tự động tắt màn hình lỗi mặc định cài đặt
0	mua e thái bể bơi 1 nhân viên bảo pin pin nửa lắp pin ko kích pin quê hà nội 40 sóng hà nội dc chán
0	sóng máy rẻ chẳng nhẽ đem sửa ko hài lòng máy pin trâu xưa gọi dè tiếng
0	mấy t mua hôm qua xài k hàng tàu khựa sóng kém loa vọng mic
0	hành trình phím cạn độ nảy phím bấm bấm khôg cảm giác
0	rớt màng hình đường sọc chất lượng sản phẩm k dc
0	loa tiếng bé cầm loa vọng tiếng vote 1 nokia 2
0	sóng ok loa vọng tiếng đàm thoại nhắn lưu trữ hạn chế sắp xếp tùm lum theo dõi khó chịu hài lòng
0	mau pin nhạc chuông loa hình đổi bật gọi loa bấm tùy chọn bất tiện
0	mua trúng hàng dõm tắt
0	dòng oppo f11 máy youtube nhạc tiếng loa phát bé chi là khó chịu
0	điện thoại pin tầm 1 linh tinh pin lỗi sim kết nối sim 1
0	nokia 105 giá ok gọi loa lẫn lo ok nhung nhac chuông thi trang bị nhac chuông nhìu
0	lắp thẻ nhớ ko phát đươc danh sách nhạc chụp ảnh ko ảnh lưu
0	máy xấu quắc chụp hình tối om gọi tiếng rè rè lưu số nhắn chẳng
0	thất vọng sản phẩm thao tác bất tiện máy thường xuyên hành động ý muốn chấp nhận trò chơi offline máy bắt tiền mặt mua lượt
0	điện thoại bin kém 1 ngắn hỏng pin
0	sản phẩm nokia chất lượng ok mua nokia 150 hơi nhẹ trơn chất
0	thất vọng feature phone giá củ chất lượng thoại loa vỡ máy mua hàng phillips trải nghiệm thử tiền
0	tiếc java chạy yếu game avatar đc máy lỗi
0	pin tồi 5 pin sạc 2 mặc dù gọi nhắn tin quảng cáo toàn linh tinh
0	điện thoại pin tầm 1 linh tinh pin lỗi sim kết nối sim 1
0	camera chụp nét một tí
0	tệ điện thoại pin smartphone giao diện màn hình
0	tệ điện thoại pin smartphone giao diện màn hình
0	máy hài lòng lắm pin 5000 lắm 5 pin mặc dù
0	loa rè nói chuyện đầu dây kia to
0	tệ 23 hỏng mic đàm thoại kia kia ko khuyên mua 1 cài đặt bất tiện
